id,name,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood
15440,Venice Beach Walkstreet Guesthouse,140.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
54829,Beautiful Venice Beach Home Oasis,125.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Venice
69838,L.A. Lifestyle--like you live here,97.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,Mid-Wilshire
76561,BECAUSE REVIEWS DON'T LIE! Go Instant Book Now!,102.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,South LA
107970,2 Room Poolside Guesthouse +bikes,90.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,Long Beach
138211,Santa Monica/Brentwood Guest House,140.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,West Los Angeles
185950,Super Private Suite with View & Spa,94.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Eagle Rock
260438,Private Cottage in the heart of LA,115.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Mid-Wilshire
281139,Stylish Hollywood Loft with Views!,115.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Hollywood
321987,Tracy's Angel room* Feel the Magic,83.0,93.0,10.0,9.0,10.0,10.0,10.0,10.0,Venice
394116,WALK to BEACH-10mins! FREE-BREAKFAST+Prk+WiFi- RM1,112.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
413749,Charming Silverlake/Echopark Cabin,115.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Echo Park
507927,Pirates of the Caribbean Getaway,95.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Topanga
528860,"Walk to Venice Beach from a Bright, Artistic Loft",159.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,Venice
533646,MY HOLLYWOOD SPACE RENTALS  #15,65.0,94.0,10.0,10.0,10.0,10.0,9.0,10.0,Hollywood
561579,Tracy's StarryNight* Feel Enchanted&Romantic,108.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,Venice
592996,Best Beach Bed Breakfast & Bikes 1,95.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Del Rey
593991,Best Beach Bed Breakfast & Bikes 2,85.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Del Rey
609376,Casa de Carlos Hollywood Apartment,111.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,Hollywood Hills
621233,Artistic Topanga Mermaid Suite,90.0,89.0,9.0,9.0,10.0,10.0,10.0,9.0,Topanga
634133,Private Mid-Century Styled Guest House,110.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Mid-Wilshire
847872,Adorable Arts District Guest House,79.0,86.0,9.0,9.0,10.0,10.0,10.0,9.0,North Hollywood
893786,Bike to the Beach from a Relaxed Apartment with a BBQ Patio,209.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
908836,Zen Garden by Universal & Hollywood,59.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Valley Glen
1009059,Santa Monica Magical Organic Garden w/Free Parking,90.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Santa Monica
1009472,WALK to BEACH-10mins! FREE-BREAKFAST+Prk+WiFi-RM3,92.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,Venice
1025161,Private Room in an Elegant French Gothic Home,99.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Mid-Wilshire
1112589,cottage in the heart of Venice BCH.,110.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
1240919,MY HOLLYWOOD SPACE RENTALS 2,65.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,Hollywood
1257025,Beach side heart of santa monica/P,89.0,91.0,10.0,10.0,10.0,9.0,10.0,9.0,Santa Monica
1352131,MY LITTLE PARIS IN LOS ANGELES With free parking.,135.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Downtown
1356645,Tracy's Loft upIn the Clouds* Feel Bliss,83.0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,Venice
1446537,Great Private Room in Venice Beach,100.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,Venice
1451415,Private Room One Block to Beach,110.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,Venice
1506773,Tracy's TeenyTiny Castle* Feel Enchanted&Magical,73.0,89.0,10.0,9.0,10.0,10.0,10.0,8.0,Venice
1525686,Bike Around Town from the Sweetest Cottage in Venice Beach,175.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,Venice
1652433,New Cleaning Lady! ;) Hear Waves Crash! Steps2Bch!,154.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,San Pedro
1906269,"Venice Bungalow, Abbot Kinney/Beach",99.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
1943502,BEST Downtown Loft on Airbnb!,129.0,91.0,9.0,9.0,9.0,9.0,9.0,8.0,Downtown
1990543,"Private 1906 Bungalow, 3 Blks from Beach",95.0,93.0,10.0,9.0,10.0,10.0,10.0,10.0,Santa Monica
2034041,Venice Original Private Guest House,149.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
2242987,West Los Angeles House with Huge Yard,70.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Mar Vista
2514814,"Bright Studio, Steps to the Beach!",159.0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,Venice
2665869,The Venice Beach Garagement,95.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
3259107,Super Venice Location!!,110.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
3884769,Venice Beach Cabana,125.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,Venice
4662943,Bedroom w/ shower private entrance,69.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Mid-Wilshire
5683308,Urban Oasis Loft in Historical Building,145.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Downtown
6031144,Cottage Guest House & Private Patio!,95.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,Hollywood
6438015,Venice Beach Guest Studio with Pool and Hot Tub,115.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Venice
